"site.id","site.num","lat","long","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","P5","P6","P7","P8","P9","P10","P11","P12"
"FF",22,56.43615,115.32547,0.113861754236923,-0.165234192450709,0.304479250903234,0.227588034423491,0.428433880127405,0.118142665894703,-0.222735603742034,0.118066677459576,0.0233925850153299,0.0139429727276653,-0.216936113582782,-0.145107842935315,0.302304888293772,0.134601615968336,-0.308464224033602,-0.103267296797829,-0.0713585571135811,-0.0313982239188429,-0.245175287254672,-0.0292724146210466
"HH",23,58.52923,117.292,0.204093340406819,-0.135138361361505,0.085916127621995,0.121342622703895,0.144158150402382,-0.149086518688299,-0.169595245797865,0.212747042965636,0.194910522042869,-0.0300166586032055,-0.111168353686014,0.00276397388436063,0.192978453654359,-0.120615690884527,-0.276934127172833,-0.298325408333944,-0.115932826825954,0.0290022694309914,-0.185872254756802,-0.0546064656306977
"JJ",24,57.84962,115.37582,0.0589732564364349,0.139038658638086,0.232121769936204,0.242475251624708,0.176417838570779,-0.133163401716574,-0.0908755338867247,0.231610618473603,0.0488187054202537,0.0112656179555835,-0.134686477017593,0.0452950642280833,-0.0199661444901138,-0.155499402175547,-0.112804876504802,0.0370025323739156,0.0394587995795388,-0.24489326520066,-0.23004358774532,-0.0329590753140551
"KK",25,57.99397,117.41682,0.214107172224477,0.0934118646190039,0.192609619425126,0.321586232765704,-0.00179278587904482,-0.115583486072374,0.120369904829408,0.267723228663251,0.268401460467342,0.119921537108921,-0.00268303855974459,0.115022207372256,-0.158252599791967,0.0261169753168554,-0.0981954295455919,-0.234391907852549,0.0892640034852283,0.00767306425892435,-0.111066501162471,0.145207049359068
"MM",26,53.74975,116.61757,-0.274605637779179,-0.0655738674522054,-0.0512861571576162,0.0501434768661847,-0.0149236861602054,-0.14173984599515,-0.181008251702169,0.090373270347448,-0.0530488154933348,0.0672171657318248,-0.0961213111914991,-0.0773893241318665,0.0951298585295548,-0.0973814165607818,-0.240563657386313,0.0177048225578994,-0.0561946516240605,0.202157826384194,-0.248117472575075,-0.087057187506946
"PP",27,58.781,117.37814,0.344599064452147,0.114024511990233,0.0256606960913568,-0.0751092056035853,-0.228735019396473,0.115613844591325,0.123603984441329,-0.0625244505562092,0.180910513547953,0.256509050240426,0.228876751176733,0.164673169064918,-0.106892477824374,-0.0722296734600251,0.0136804980403501,0.0736278828803708,0.273659391831138,0.124255616800245,0.13284209725014,0.323342415923999
"QQ",28,58.54185,115.61575,0.0707120232997213,0.0450736275609185,0.091635002838932,0.136979996367031,-0.076650259046243,0.0838670644905596,0.043681521649871,-0.0153314910894095,0.241589285237846,0.0320551045627831,-0.0704014338408553,-0.171890761977424,0.00875745887827555,-0.212928194930985,0.0336080760354079,0.0833933743689234,0.225122723360118,0.0415494695159606,-0.0115089507598801,0.156244420467443
"SS",29,57.13625,117.73016,-0.276946449766858,-0.191289183239118,-0.27862752391419,-0.106813760250597,0.0913346626956014,-0.185389030028558,-0.39211554629737,-0.277365451430731,-0.0973770589380245,0.05887402430325,-0.0297929202616233,-0.0304345650810626,0.211020496675981,-0.233006579376002,-0.30501830836905,-0.10686997266976,-0.17632196988585,0.00349281553430925,-0.198525672411075,-0.149845671903016
"TT",30,52.58402,115.35296,-0.213389414060349,-0.188794817918184,-0.202577755992474,-0.272495876376973,-0.100027360939405,-0.00419591825235021,-0.14143074877676,-0.140939088669734,-0.0939869711966585,-0.0234988366503541,-0.108071830018107,-0.0613023174064147,0.088551328132825,-0.0615876665692861,-0.255875966481942,0.126856998826412,-0.255541693855158,-0.0240095843105379,-0.131455909355174,-0.154831281807701
"WW",31,52.04897,115.07789,0.243613491919786,0.202530220810704,0.234464588838557,0.283237971083505,0.105089136758416,0.00195322023741576,0.0149649710179353,0.0743909356049014,0.180284595128445,0.00325644768769813,-0.0222177910618391,-0.0138891044308157,0.0498326354439041,0.0520199019951426,-0.0426218173820756,-0.115686047140517,0.294325531291213,-0.0339918701735999,0.0238441666092483,0.159913025376619
"XX",32,56.51937,111.29796,0.230372347988738,0.204547217944845,0.212514953682713,0.139066268026963,-0.0314106055557117,0.0409707483082642,0.29410860475899,0.286638955648338,0.0529428736934374,-0.262968849973908,-0.230575983443556,0.178206503014018,-0.301861611089243,0.0762292500230597,0.144331663260629,0.146526119870004,0.0633891178827423,-0.41043172805348,-0.103252694272741,0.159890041256128
"YY",33,57.14961,111.63776,0.185441229844309,0.275592277866705,0.201797861833215,0.253428182630662,0.070368082837544,-0.00824835737289667,0.101379885560777,0.102935615317548,0.281885051008871,-0.0707631557840429,-0.0499617390286174,0.156022489549053,-0.178398995905209,-0.112957808610589,0.177228082206604,0.0225379464494347,0.0747353962697993,-0.109875322908741,-0.0649566992948897,0.208347530501343
"ZZ",34,56.02589,110.88319,-0.143311079057373,-0.23581227094079,-0.0483342541534042,0.21442275713657,0.288314137884867,-0.16379174964801,-0.0815005240934401,-0.101618605784837,-0.180237838887364,0.235245422904723,-0.100518445863726,-0.315423705299226,-0.105949344476488,0.0257526736370921,-0.115555534665216,-0.293137395912059,-0.198096848765651,0.0503875230968951,-0.06934550900831,-0.249192124605144
